authour,category,date,push,title,url
PPPa,10, 7/05,X8,Re   討論     高爾 宣實際 上 還是 很 屌 吧  ,/bbs/Hip-Hop/M.1562322757.A.876.html
ccXVI,3, 7/05,8,音樂   Post   Malone     Goodbyes   ft   Young   Thug,/bbs/Hip-Hop/M.1562323241.A.311.html
s3915823,3, 7/05,6,音樂   嘉欣 LukLittle   things,/bbs/Hip-Hop/M.1562324728.A.665.html
henryhuang17,0, 7/05,爆,公告   中國 新 說 唱 2019   第四集   集中 討論 串,/bbs/Hip-Hop/M.1562329044.A.8D4.html
godzillagrrr,11, 7/11,28,關於中國 新 說 唱 FreeC,/bbs/Hip-Hop/M.1562774781.A.A71.html
killger,3, 7/11,2,音樂   高大 嘻研   AT   x   2How     Juicy   Girl,/bbs/Hip-Hop/M.1562832670.A.611.html
subsonic,3, 7/11,2,音樂   痞子 福克斯 xChinkid   Viito     鼎 Culture,/bbs/Hip-Hop/M.1562849902.A.B5E.html
wlnspt,3, 7/11,18,音樂   戰犯   萬能 麥斯溫 柔鄉   ft 吳獻,/bbs/Hip-Hop/M.1562856360.A.880.html
Jagermeister,1, 7/09,5,分享   佐科威 接見 繞 舌 歌手 Rich   Brian 這位 印尼 青年 讓,/bbs/Hip-Hop/M.1562677723.A.E39.html
henryhuang17,3, 7/09,1,音樂   許時 ShiShrWater   ft   BR,/bbs/Hip-Hop/M.1562678090.A.1AB.html
kg158,10, 7/09,2,Re   音樂   BIGhimi 大蜜 DISS 春麗 的 噩夢   FreeC   DISS,/bbs/Hip-Hop/M.1562679228.A.E81.html
baby003,3, 7/09,8,音樂   NEOSO   刪除 加封 鎖,/bbs/Hip-Hop/M.1562680892.A.6AB.html
yuxds,10, 7/20,8,Re   音樂   吳亦凡 大碗 寬 麵 新歌,/bbs/Hip-Hop/M.1563563832.A.311.html
KarlMarx,3, 7/20,30,音樂   JD     選擇門,/bbs/Hip-Hop/M.1563582416.A.064.html
dindaofay,5, 7/20,16,討論   這賽制 也 太嘻哈 了 吧,/bbs/Hip-Hop/M.1563583539.A.7DB.html
kero2377,3, 7/20,8,音樂   麻吉 弟弟 五福 路,/bbs/Hip-Hop/M.1563584883.A.EDE.html
subsonic,5, 7/20,19,討論   要是 BR 活到 選擇門 這集,/bbs/Hip-Hop/M.1563586125.A.5DC.html
mtebooks,5, 7/07,3,討論   中國 新 說 唱   小丑 dissback,/bbs/Hip-Hop/M.1562438041.A.2E2.html
MrNoproblem,5, 7/07,18,討論   Jony   J 求婚,/bbs/Hip-Hop/M.1562470249.A.C04.html
look1225,10, 7/07,X1,Re   討論   守衛   跟   小丑   那一場,/bbs/Hip-Hop/M.1562496622.A.8DE.html
foxface,3, 7/07,11,音樂   楊和蘇   Whos   real,/bbs/Hip-Hop/M.1562503688.A.ECF.html
Luvsic,10, 7/05,9,Re   討論     高爾 宣實際 上 還是 很 屌 吧,/bbs/Hip-Hop/M.1562331067.A.01B.html
a19951218,10, 7/05,2,Re   討論     高爾 宣實際 上 還是 很 屌 吧  ,/bbs/Hip-Hop/M.1562335019.A.D1D.html
foam0406,5, 7/05,5,討論   有人 覺得 這季 新 說 唱 舞台 設計 很 暗 嗎,/bbs/Hip-Hop/M.1562339487.A.D43.html
KarlMarx,5, 7/06,33,討論   中國 新 說 唱 2019   ep4,/bbs/Hip-Hop/M.1562344619.A.FBC.html
Tim203321,3, 7/06,4,音樂   YBN   CordaeBad   Idea,/bbs/Hip-Hop/M.1562344804.A.587.html
PPPa,5, 7/04,60,討論   大家 聽 饒 舌 真的 很 在意 歌詞 嗎,/bbs/Hip-Hop/M.1562222622.A.5D2.html
Luvsic,3, 7/04,1,音樂   Kanye   West   Charlie   Wilson     Brothers,/bbs/Hip-Hop/M.1562231029.A.22B.html
Luvsic,9, 7/04,4,趣味   WuTang   An   American   Saga   Teaser   Trail,/bbs/Hip-Hop/M.1562231564.A.62F.html
JEWH,5, 7/04,13,討論   頑童 今年 單飛   飛去 哪 了,/bbs/Hip-Hop/M.1562235064.A.397.html
KarlMarx,3, 7/09,4,音樂   CBLOCK     初夜,/bbs/Hip-Hop/M.1562681118.A.A63.html
pp4646,4, 7/09,1,活動   許時 ShishrWater   ftBR   看 MV 抽發 財金,/bbs/Hip-Hop/M.1562683735.A.17E.html
hisaken,5, 7/20,21,討論   51F 的 表演 如果 沒有 聲光 效果,/bbs/Hip-Hop/M.1563588791.A.8E0.html
nwd4e9cd,5, 7/20,44,討論   熱狗 mchotdog   IG,/bbs/Hip-Hop/M.1563589100.A.63D.html
akhot,3, 7/07,63,音樂   孫旭   請 多 關照,/bbs/Hip-Hop/M.1562508033.A.0C0.html
joanzkow,3, 7/08,4,音樂   文慧 如 外婆 的 大海,/bbs/Hip-Hop/M.1562539943.A.458.html
john110290,7, 7/08,3,創作   棋子 還是 塞子,/bbs/Hip-Hop/M.1562549807.A.1D2.html
dreamenjoy,10, 7/06,1,Re   討論   中國 新 說 唱 2019   ep4,/bbs/Hip-Hop/M.1562348040.A.C6D.html
htl0918,6, 7/06,3,問題   小酷 coola 呢,/bbs/Hip-Hop/M.1562349787.A.B7F.html
zeon082336,11, 7/06,8,MGK   Hotel   Diablo,/bbs/Hip-Hop/M.1562353158.A.7E7.html
ig49999,5, 7/04,80,討論   有 沒 有 覺得 很 可惜 的 饒 舌 歌手,/bbs/Hip-Hop/M.1562237388.A.B9C.html
foam0406,10, 7/04,7,Re   音樂   周湯豪   NICKTHEREALi   GO,/bbs/Hip-Hop/M.1562238543.A.757.html
sonet960630,3, 7/04,1,音樂   姜傑 JohnJ 倦鳥   ft 呂允,/bbs/Hip-Hop/M.1562239359.A.0FA.html
chu3665,3, 7/04,3,音樂   OneFan   Help   me   and   Heal   me,/bbs/Hip-Hop/M.1562252372.A.1BC.html
apple7433922,7, 7/04,4,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1562254049.A.71E.html
onioneggss,9, 7/04,3,趣味   小人 聊關 粉絲團 近況 教書 自省,/bbs/Hip-Hop/M.1562254679.A.4F7.html
derder9,7, 7/02,3,創作   自己 做 的 beatlofi,/bbs/Hip-Hop/M.1562074658.A.B33.html
gucciyuan,5, 7/02,8,討論 為 什麼 大家 總愛說 誰 誰 誰 沒 怎樣,/bbs/Hip-Hop/M.1562079514.A.C8E.html
Sha1377,3, 7/02,18,音樂   專輯 開箱   key   to   l,/bbs/Hip-Hop/M.1562081710.A.AFE.html
ericcharng,6, 7/08,18,問題   熱狗 去 海選 或 1v1 贏得 了 嗎,/bbs/Hip-Hop/M.1562551274.A.264.html
zyc5566,10, 7/08,19,Re   討論   中國 新 說 唱 2019   ep4,/bbs/Hip-Hop/M.1562551581.A.B22.html
foam0406,5, 7/06,42,討論   去年 的 那 吾 參加 這屆 應該 不會紅 吧,/bbs/Hip-Hop/M.1562357150.A.D73.html
LamentBoy,3, 7/06,5,音樂   萬芳 高中 cypher   萬芳 發大財,/bbs/Hip-Hop/M.1562362013.A.0E4.html
yixiang921,10, 7/06,8,Re   趣味   11 組頂 尖嘻哈 歌手 盲聽 神秘 新 歌,/bbs/Hip-Hop/M.1562372767.A.14E.html
Drake5566,3, 7/06,3,音樂   Snoop   Dogg     I   Wanna   Thank   Me,/bbs/Hip-Hop/M.1562386663.A.9A4.html
Kndog,5, 7/05,24,討論   EMO 跟 trap 與 mumble 差 在 哪,/bbs/Hip-Hop/M.1562257477.A.940.html
jamiro0000,10, 7/05,17,Re   推薦   BP   from   HLC     機械動作,/bbs/Hip-Hop/M.1562265235.A.EDF.html
a31018145,10, 7/05,10,Re   討論   EMO 跟 trap 與 mumble 差 在 哪,/bbs/Hip-Hop/M.1562288725.A.560.html
firewulala,2, 7/03,37,知識   嘻哈音樂 金曲 獎紀錄,/bbs/Hip-Hop/M.1562087396.A.838.html
Ian881219,5, 7/03,27,討論   自 製 Leo 王 新手 服用 歌單,/bbs/Hip-Hop/M.1562118419.A.DC3.html
qqqwsd,3, 7/03,7,音樂   劉炫廷 champion,/bbs/Hip-Hop/M.1562130746.A.5F6.html
bonebonebone,3, 7/03,35,音樂   9m88Aim   High,/bbs/Hip-Hop/M.1562140037.A.9EC.html
Luvsic,3, 7/03,4,音樂   2019   Glastonbury   嘻哈嘻哈 相關 整理,/bbs/Hip-Hop/M.1562141716.A.519.html
DADAO90,9, 6/30,X1,趣味   身歷 奇境 有 西瓜 大哉問,/bbs/Hip-Hop/M.1561879756.A.E73.html
henryhuang17,3, 6/30,10,音樂   Karencici   林愷倫       SorryMama  ,/bbs/Hip-Hop/M.1561883537.A.585.html
henryhuang17,0, 6/30,1,公告   倉庫 9 天   lagay,/bbs/Hip-Hop/M.1561896841.A.9DE.html
qqwweerrqq,5, 7/01,21,討論   盤尼 西林 限時   中辣,/bbs/Hip-Hop/M.1561911241.A.51A.html
Ise7en,5, 7/06,19,討論   守衛   跟   小丑   那一場,/bbs/Hip-Hop/M.1562403405.A.329.html
foam0406,10, 7/06,13,Re   討論   守衛   跟   小丑   那一場,/bbs/Hip-Hop/M.1562407277.A.139.html
joywilliamjo,1, 7/06,X1,分享   Joeman   X   MChotdog 狗哥,/bbs/Hip-Hop/M.1562410030.A.4E5.html
mons96,9, 7/05,5,趣味   熱狗 上 龍虎門 新節 目不素 之客,/bbs/Hip-Hop/M.1562298278.A.F41.html
tarsoncal,5, 7/05,1,討論   jaden   SmithERYS,/bbs/Hip-Hop/M.1562304266.A.22D.html
slender123,3, 7/05,9,音樂   水神 ZeoWater   ft 婁峻 碩 SHOU,/bbs/Hip-Hop/M.1562306924.A.A18.html
babyhippo,3, 7/05,7,音樂   DreamvilleJ   coleRevenge   of   the   Dream,/bbs/Hip-Hop/M.1562308745.A.0A6.html
Renkaka,11, 7/03,4,1MoroLL   謝謝 妳 ThankYou   Jimix   feat   Y,/bbs/Hip-Hop/M.1562145846.A.5D2.html
sclbtlove,3, 7/03,27,音樂   人人 有功 練   人人 Cypher   vol1Lyrics,/bbs/Hip-Hop/M.1562151121.A.C2F.html
warchero,3, 7/03,8,音樂   家家   feat Ø ZI   好事 派 對   House   Party  ,/bbs/Hip-Hop/M.1562161152.A.8CF.html
kenshiloh,10, 7/01,9,Re   討論   盤尼 西林 限時   中辣,/bbs/Hip-Hop/M.1561919202.A.EBF.html
trnkcity,10, 7/01,43,Re   討論   盤尼 西林 限時   中辣,/bbs/Hip-Hop/M.1561925519.A.2E7.html
KurtZouma,5, 7/01,26,討論   Lil   Nas   X 宣布 出櫃,/bbs/Hip-Hop/M.1561952722.A.F3A.html
kerwinboy,5, 7/01,33,討論   熱狗 在 訪談 中談 到 所謂 黑幕,/bbs/Hip-Hop/M.1561956858.A.294.html
ashianQQ,4, 7/01,6,活動   2019   黑熊 部落   Vol6   X   顏社   國慶連假,/bbs/Hip-Hop/M.1561959706.A.3A9.html
navicrops,3, 6/29,18,音樂   劉炫廷     無名 之輩,/bbs/Hip-Hop/M.1561781239.A.A53.html
chunx2,3, 6/29,24,音樂   顏社 Leo 王     飯 太冷 先生  ,/bbs/Hip-Hop/M.1561781289.A.260.html
Luvsic,3, 6/29,2,音樂   Common   Freestyle,/bbs/Hip-Hop/M.1561781685.A.B8C.html
yang0405,5, 7/05,39,討論   婁峻 碩 SHOU 高爾宣 OSN   都 幾,/bbs/Hip-Hop/M.1562311125.A.4C3.html
pttfaywu,5, 7/05,2,討論     高爾 宣實際 上 還是 很 屌 吧  ,/bbs/Hip-Hop/M.1562312748.A.A31.html
KarlMarx,3, 7/03,8,音樂   派 克特 A   REAL   MOTHER  ,/bbs/Hip-Hop/M.1562162366.A.8B3.html
PPPa,3, 7/03,爆,音樂   周湯豪   NICKTHEREALi   GO,/bbs/Hip-Hop/M.1562169530.A.DEA.html
cze71210,3, 7/04,4,音樂   山松 Hay   Trao   Cho   Anh   featSnoop   Dogg,/bbs/Hip-Hop/M.1562174656.A.47F.html
a19951218,10, 7/04,14,Re   音樂   周湯豪   NICKTHEREALi   GO,/bbs/Hip-Hop/M.1562176000.A.534.html
Dogman7788,3, 7/01,5,音樂   麻吉 弟弟 炫耀 又 怎樣,/bbs/Hip-Hop/M.1561968858.A.3AF.html
KarlMarx,3, 7/01,4,音樂   Zoe   The   Cheffrom   Cynical   BoyzNaked,/bbs/Hip-Hop/M.1561989601.A.56A.html
OPPAISuki,3, 7/02,X3,音樂   高爾宣   OSN   Old   Me,/bbs/Hip-Hop/M.1562000747.A.04E.html
endlesswcy,7, 7/02,2,創作   紀顥 B   loves   B,/bbs/Hip-Hop/M.1562008662.A.90E.html
freddy910209,3, 7/02,9,音樂   AK   BenjaminDawg   獵犬,/bbs/Hip-Hop/M.1562026680.A.A50.html
Luvsic,3, 6/29,1,音樂   Freddie   Gibbs     Madlib     Bandana,/bbs/Hip-Hop/M.1561796773.A.59A.html
togobo9411,3, 6/29,19,音樂   何美延 水裡 住,/bbs/Hip-Hop/M.1561797164.A.D2B.html
prettybozy,5, 6/29,4,討論   于意 YEE 是 金魚腦 嗎,/bbs/Hip-Hop/M.1561808463.A.A59.html
balcony5566,5, 6/29,爆,討論   OZI 金曲 最佳 新人 影片,/bbs/Hip-Hop/M.1561808641.A.DCD.html
zkow,1, 6/29,20,分享   劉柏辛 Lexie 微博,/bbs/Hip-Hop/M.1561817337.A.BCF.html
kelosh22,5, 6/27,18,討論   台灣 去 新 說 唱 的   只有 Nick 不用 當 小丑,/bbs/Hip-Hop/M.1561609425.A.7FB.html
bbsbbbbsbb,3, 6/27,4,音樂   光哥 貼 音樂     MGK     I   Think   Im   OKAY,/bbs/Hip-Hop/M.1561612126.A.31A.html
mQAQm,10, 6/27,20,Re   音樂   Rich   BrianYellow,/bbs/Hip-Hop/M.1561621259.A.E89.html
yongye,5, 7/04,31,討論   現今 最 有 話 題性 的 五個 唱 cypher,/bbs/Hip-Hop/M.1562203777.A.066.html
onioneggss,9, 7/04,6,趣味   小人 聊聊 小人 國,/bbs/Hip-Hop/M.1562208174.A.BE9.html
keke0421,10, 7/04,12,Re   音樂   周湯豪   NICKTHEREALi   GO,/bbs/Hip-Hop/M.1562210333.A.702.html
yong9812,5, 7/02,10,討論   NaflaWu 和 Leo 王神經 兮兮,/bbs/Hip-Hop/M.1562047200.A.1B5.html
gustinachen,3, 7/02,21,音樂   JAY   PARK     Nothing   Matters,/bbs/Hip-Hop/M.1562062990.A.B11.html
bORis9527,10, 7/02,9,Re   討論   熱狗 在 訪談 中談 到 所謂 黑幕,/bbs/Hip-Hop/M.1562073114.A.DFB.html
joywilliamjo,5, 6/29,43,討論   這 就是 街舞   第二季   第七集 觀後感,/bbs/Hip-Hop/M.1561819280.A.260.html
zxxxxxxxxx,5, 6/29,爆,討論   Leo   Wang 最佳 男歌手 啦,/bbs/Hip-Hop/M.1561820514.A.E14.html
cze71210,5, 6/29,29,討論   以後想 拿獎 的 484 趕快 找 9m88 合作,/bbs/Hip-Hop/M.1561821455.A.EFE.html
Daisykuo1,5, 6/30,9,討論   台灣嘻哈音 樂要 起來 了 嗎,/bbs/Hip-Hop/M.1561831476.A.83B.html
qwerty666,3, 6/27,2,音樂   頑童 MJ116   feataMEI   張惠妹   Better   Dayz,/bbs/Hip-Hop/M.1561627531.A.E0C.html
undernoodle,3, 6/27,26,音樂   高浩哲 赤 炎炎,/bbs/Hip-Hop/M.1561639241.A.8A8.html
Thewayfrom,9, 6/27,67,趣味   11 組頂 尖嘻哈 歌手 盲聽 神秘 新 歌,/bbs/Hip-Hop/M.1561648856.A.EF2.html
bbsbbbbsbb,3, 6/27,33,音樂   戰犯   Project   W     可樂 星球     光哥 貼 音樂,/bbs/Hip-Hop/M.1561648986.A.DCE.html
hwdavid,5, 6/24,19,討論   這 就是 街舞 S2 戰隊 複 賽 分享 有劇 透 小心,/bbs/Hip-Hop/M.1561371950.A.72E.html
zdvzdfh,7, 6/24,6,創作   政 大黑 音 Afro   freesyle,/bbs/Hip-Hop/M.1561372220.A.6C5.html
jerry1119,2, 6/24,8,知識   XXL   Freshman   2019 女子 饒舌 歌手 介紹,/bbs/Hip-Hop/M.1561373134.A.67E.html
yujimin,3, 6/24,爆,音樂   熊仔 BOWZ     禁愛令 Antilove   MV,/bbs/Hip-Hop/M.1561381576.A.7C3.html
wendell12396,11, 7/04,1,愛恨 情愁 Mc   Jin,/bbs/Hip-Hop/M.1562210639.A.47C.html
nayeonmywife,5, 6/30,10,討論   鄧紫棋 感覺 真的 有 被 饒 舌 影響 到,/bbs/Hip-Hop/M.1561832706.A.72D.html
Ian881219,5, 6/30,25,討論   我要 在 這感謝 中國 有嘻哈,/bbs/Hip-Hop/M.1561834577.A.B9A.html
KarlMarx,3, 6/27,3,音樂   Ellie   Goulding     Juice   WRLD     Hate   Me,/bbs/Hip-Hop/M.1561650173.A.EB6.html
demons2002,3, 6/28,12,音樂   NFWhen   I   Grow   Up,/bbs/Hip-Hop/M.1561693183.A.14C.html
asd9527,3, 6/28,9,音樂   Yee   第一 張 創作 專輯 破繭,/bbs/Hip-Hop/M.1561710997.A.F18.html
chen60204,3, 6/28,38,音樂   莫 宰羊 健康 快樂,/bbs/Hip-Hop/M.1561719133.A.9B9.html
henryhuang17,0, 6/28,爆,公告   中國 新 說 唱 2019   第三集   集中 討論 串,/bbs/Hip-Hop/M.1561723026.A.8C6.html
sallyhelp,3, 6/24,78,音樂   HC     假 韓粉 真 韓粉   ft 黃 捷,/bbs/Hip-Hop/M.1561383542.A.E04.html
sclbtlove,3, 6/24,4,音樂   賴皮   MRSKIN   Its   Me     是 我,/bbs/Hip-Hop/M.1561387148.A.F64.html
sclbtlove,3, 6/24,9,音樂王 水源   Rollin   w   8ball   ft   HowZ  ,/bbs/Hip-Hop/M.1561389443.A.E62.html
vince4687,6, 6/25,55,問題   聽 起來 感覺 有 嗑 的 歌曲 推薦,/bbs/Hip-Hop/M.1561436310.A.4AE.html
subsonic,5, 6/22,34,討論   功夫 胖不該 被 淘汰 的,/bbs/Hip-Hop/M.1561166549.A.55C.html
gcobs075336,6, 6/22,34,問題   中國 新 說 唱 2019   BR 海選 畫面,/bbs/Hip-Hop/M.1561187078.A.4F0.html
abc1212050,3, 6/22,2,音樂   lil   aaron     DARK   MATTER,/bbs/Hip-Hop/M.1561197834.A.31C.html
aa2378924,10, 6/30,10,Re   討論   真 不 懂 那些 跟 風 的 心態,/bbs/Hip-Hop/M.1561836610.A.6E7.html
subsonic,3, 6/30,3,音樂   痞子 福克斯 xHayrul 海力     夕陽 西下,/bbs/Hip-Hop/M.1561859232.A.79B.html
PPPa,5, 6/30,XX,討論   leo 王   參加 中國 新 說 唱過 的 了 海選 嗎,/bbs/Hip-Hop/M.1561870705.A.F9A.html
hy654,3, 6/28,10,音樂   Ambition   MusikBeer,/bbs/Hip-Hop/M.1561731986.A.AE5.html
KarlMarx,5, 6/29,35,討論   中國 新 說 唱 2019   ep3,/bbs/Hip-Hop/M.1561742517.A.545.html
subsonic,3, 6/29,32,音樂   福克斯     慶功 酒,/bbs/Hip-Hop/M.1561778417.A.2E1.html
henryhuang17,3, 6/25,10,音樂   GAI 混 江湖 逆水 寒 代言 曲,/bbs/Hip-Hop/M.1561452207.A.B84.html
as755617,3, 6/25,10,音樂   DUF 我 殺 了 自己 在 夜晚,/bbs/Hip-Hop/M.1561452960.A.4C3.html
bokaicyc,3, 6/25,1,音樂   DudeRoll     該 睡 了 mixtape,/bbs/Hip-Hop/M.1561455178.A.F02.html
hugh60206,3, 6/25,33,音樂   葛西瓦   BCW   直接 給你到,/bbs/Hip-Hop/M.1561461828.A.1F5.html
Mezerized,3, 6/22,4,音樂   J   Cole     Cant   Get   Enough   ft   Trey   So,/bbs/Hip-Hop/M.1561199265.A.C9D.html
joywilliamjo,5, 6/22,49,討論   這 就是 街舞   第二季   第六集   觀後感,/bbs/Hip-Hop/M.1561209453.A.A0A.html
bnbn860904,5, 6/22,29,討論   麻吉 弟弟 是不是 被 套路 了,/bbs/Hip-Hop/M.1561213356.A.EAB.html
zkow,5, 6/22,27,討論 被當 丑角 台灣 選手 以 後 還會 去 中國 新 說 唱 嗎,/bbs/Hip-Hop/M.1561217343.A.9B9.html
samrt5566,5, 6/23,3,討論   新說 唱狗哥 跟 岳哥 有 兩票,/bbs/Hip-Hop/M.1561264550.A.1AC.html
legendyelon,6, 6/20,10,問題   種瓜 得 瓜   種 DOPE 得 DOPE,/bbs/Hip-Hop/M.1561039243.A.BE1.html
henryhuang17,10, 6/20,4,Re   音樂   McHotdog   厭世 吉娃娃,/bbs/Hip-Hop/M.1561040256.A.537.html
alanlingod,6, 6/21,29,問題   玩 很 久 卻 紅不起 來 的 饒 舌 歌手 靠 什麼 維生,/bbs/Hip-Hop/M.1561049125.A.9FC.html
wike3di77,10, 6/21,14,Re   問題   種瓜 得 瓜   種 DOPE 得 DOPE,/bbs/Hip-Hop/M.1561049755.A.68B.html
foam0406,6, 6/30,37,問題   金曲 lulu 的 表演 大家 給幾分,/bbs/Hip-Hop/M.1561871394.A.272.html
handfox,3, 6/25,6,音樂   尋找 尼歐 尋找 尼歐,/bbs/Hip-Hop/M.1561475136.A.0C9.html
abin0504,6, 6/25,26,問題   想 找 一首 嘻哈音樂,/bbs/Hip-Hop/M.1561476894.A.660.html
Kobe2630,6, 6/26,5,問題   婁峻 碩 SHOU 說 唱 的 表現,/bbs/Hip-Hop/M.1561530810.A.610.html
yji3vu4gj4,5, 6/23,9,討論   不會 寫 詞 還能 算 饒 舌 歌手 嗎,/bbs/Hip-Hop/M.1561269863.A.D2C.html
eo4x,5, 6/23,74,討論   有 拍 電影 的 饒 舌 歌手 嗎,/bbs/Hip-Hop/M.1561270083.A.24B.html
yji3vu4gj4,5, 6/23,37,討論   中國 新 說 唱 16 強 14 強大雷,/bbs/Hip-Hop/M.1561272404.A.731.html
bbsbbbbsbb,3, 6/21,2,音樂   光哥 貼 音樂     Joji     Sanctuary   2019,/bbs/Hip-Hop/M.1561067076.A.18A.html
jameswade78,3, 6/21,12,音樂   狗哥 新歌 怨偶,/bbs/Hip-Hop/M.1561084537.A.8C5.html
shane81004,5, 6/21,12,討論   2019   XXL   freshman   list,/bbs/Hip-Hop/M.1561085727.A.327.html
yji3vu4gj4,5, 6/18,9,討論   潘瑋柏 在 海選 是 故意 裝作 沒 聽 到 嗎,/bbs/Hip-Hop/M.1560832844.A.303.html
Kndog,5, 6/18,21,討論   海選為 啥 不 自己 準備 beat 唱 30 秒,/bbs/Hip-Hop/M.1560843277.A.5C8.html
YU0158,6, 6/18,7,問題   求 一首 LBJ 在 跳 的 歌,/bbs/Hip-Hop/M.1560854064.A.707.html
rrrivz,3, 6/26,25,音樂   Rich   BrianYellow,/bbs/Hip-Hop/M.1561543404.A.3EA.html
joeyoyo83,8, 6/26,22,新聞 吳亦凡 被 饒 舌 歌手 抹黑 穿越 時空 家暴 渣 男,/bbs/Hip-Hop/M.1561545457.A.D63.html
rayraoo1,3, 6/26,6,音樂   MGK   EL   Diablo,/bbs/Hip-Hop/M.1561559522.A.93B.html
jimluvssally,3, 6/27,7,音樂   範例 三 On   air   with   you,/bbs/Hip-Hop/M.1561572575.A.822.html
navicrops,5, 6/27,27,討論   有人 也 覺得   黃 旭   被 硬 捧  ,/bbs/Hip-Hop/M.1561575550.A.FDB.html
city999cool,5, 6/23,29,討論   熱狗 演唱 會,/bbs/Hip-Hop/M.1561289495.A.C34.html
tree717,10, 6/23,9,Re   討論   熱狗 演唱 會,/bbs/Hip-Hop/M.1561298657.A.E5B.html
melogoodeat,10, 6/23,8,Re   討論   熱狗 演唱 會,/bbs/Hip-Hop/M.1561304930.A.159.html
whoAU,3, 6/24,8,音樂   WUDU   MONTANA     重慶 森林,/bbs/Hip-Hop/M.1561309005.A.68E.html
p10218,11, 6/24,21,熱狗   廢 慾 清 台北 場歌單  ,/bbs/Hip-Hop/M.1561315016.A.5D6.html
onioneggss,4, 6/24,8,活動   跟 小人 慢慢 聊線 上 提問,/bbs/Hip-Hop/M.1561359991.A.FFD.html
a0989322187,11, 6/21,1,Fw   外絮   Damian   Lillard   Marvin   Bagley   III   diss  ,/bbs/Hip-Hop/M.1561094202.A.5AA.html
earsense,10, 6/21,3,Re   外絮   Damian   Lillard   Marvin   Bagley   III   diss  ,/bbs/Hip-Hop/M.1561095515.A.A01.html
tony2c5727,10, 6/21,3,Re   討論   浩哲 怎麼 了,/bbs/Hip-Hop/M.1561115572.A.A07.html
qoo5255,11, 6/18,1,Fw   售出   熱狗 台北 台 中   廢 慾 清 演唱 會門票,/bbs/Hip-Hop/M.1560864434.A.A52.html
subsonic,5, 6/18,9,討論   黃 旭 跟 孫旭 的 Beef 是不是 有 一點 貓膩,/bbs/Hip-Hop/M.1560865797.A.832.html
OPPAISuki,5, 6/19,11,討論   殭 屍姜雲升 diss   back 那 吾,/bbs/Hip-Hop/M.1560881460.A.3B7.html
CFSu,5, 6/19,5,討論   這 就是 街舞 第二季 賽制 分享,/bbs/Hip-Hop/M.1560909375.A.FC0.html
shane81004,5, 6/19,5,討論   一年 了,/bbs/Hip-Hop/M.1560913617.A.B6C.html
gogopacer,5, 6/15,4,討論   有 直接 唱 在 一般 歌曲 上 的 饒 舌歌 嗎,/bbs/Hip-Hop/M.1560612464.A.181.html
CHANYII,9, 6/15,19,趣味   恩熙俊   酒肉朋友   Feat   熱狗   MC   HotDog,/bbs/Hip-Hop/M.1560612953.A.628.html
xubank,3, 6/16,3,音樂   WTFHK   反送 中   Anti   Extradition   Bill   Edition,/bbs/Hip-Hop/M.1560619880.A.2A2.html
HsiangEnHsu,11, 6/16,10,外國人 對 吳亦凡 和 王嘉爾 的 看法,/bbs/Hip-Hop/M.1560636633.A.965.html
aehvtleo,5, 6/24,9,討論   2019   BET 得獎 名單,/bbs/Hip-Hop/M.1561360229.A.970.html
dinter9921,5, 6/24,25,討論   陷阱 妹給 愛麗絲 上 KTV 了,/bbs/Hip-Hop/M.1561366157.A.83F.html
henryhuang17,0, 6/21,爆,公告   中國 新 說 唱 2019   第二集   集中 討論 串,/bbs/Hip-Hop/M.1561118251.A.757.html
Carter8123,5, 6/21,35,討論   麻吉 弟弟 尷尬 慘選手 紫棋 做 得 對,/bbs/Hip-Hop/M.1561120216.A.83E.html
KarlMarx,3, 6/21,3,音樂   派 克特 PACT     不是 你 的 錯,/bbs/Hip-Hop/M.1561125651.A.ABC.html
KarlMarx,3, 6/21,3,音樂   派 克特 PACT     金童 慾 女   ft   辛巴,/bbs/Hip-Hop/M.1561126116.A.BF6.html
Rylix,3, 6/19,1,音樂   Interstellar 星際 效應 cypher,/bbs/Hip-Hop/M.1560916103.A.C31.html
leechenchen,5, 6/19,23,討論   關於 joey   bada,/bbs/Hip-Hop/M.1560923447.A.159.html
Thewayfrom,5, 6/19,19,討論   犬 叮噹 去 哪 了,/bbs/Hip-Hop/M.1560928566.A.338.html
akhot,3, 6/16,18,音樂   王齊銘   圍著 妳 轉,/bbs/Hip-Hop/M.1560641630.A.00B.html
gloomysunday,3, 6/16,2,音樂   MU 木老師     Y5     黑警 我 屌 你 老母,/bbs/Hip-Hop/M.1560651403.A.A5C.html
jamiro0000,3, 6/16,14,音樂   MGK   I   Think   Im   OKAY   ft   Yungblud     T,/bbs/Hip-Hop/M.1560652808.A.C46.html
KarlMarx,3, 6/13,6,音樂   DreamvilleDown   Bad   ftJIDBasJCole,/bbs/Hip-Hop/M.1560437322.A.BAA.html
KarlMarx,3, 6/13,3,音樂   Dababy     Suge,/bbs/Hip-Hop/M.1560438047.A.F10.html
KarlMarx,3, 6/13,8,音樂   Lil   Tecca     Ransom,/bbs/Hip-Hop/M.1560438705.A.9B2.html
Carter8123,5, 6/21,60,討論   中國 新 說 唱 神仙 打架 楊 和 蘇炸 翻 了,/bbs/Hip-Hop/M.1561127288.A.680.html
